
adrian ferris
anthony cowles		
aubrey penhew		
augustus larkin		
biblical treasure		
black pharaoh	nivrin ka	the black pharaoh	the lord of bats	lord of bats
captain robson		
carlton ramsey	prospero house carlton ramsey	
edward gavigan		
erica carlyle	miss erica	
gaspar du nord		
gaspar figueroa		
george sorel		
hilton adams		
hypatia masters		
jack brady		
jackson elias	elias jackson	
joe corey		
jonah kensington		
justin geoffrey		
king solomon		
luis de mendoza		
m. warren besart		
mark selkirk	lt. selkirk	
martin poole		
memesio sanchez	nemesio sanchez	
mukunga m’dari
millie adams		
miriam atwright		
montgomery crompton		
mordecai lemming		
nathaire		
neville jermyn		
nichonka bunay	m’weru	anastasia	my priestess	
queen nitocris	nitocris	
rebecca shosenberg		
rebecca west		
robert huston	robert our huston	roger robert huston
roger carlyle	roger cardigs	
roger corydon		
royston whittingdon		
sam mariga		
silas n'kwane	silas n kwane	
the queen		
victoria post		
z'thoqqua	thoqqua	z\"thoqqua

